user_id,restaurant_id,rating
1,101,5
1,103,4
1,106,4
1,107,5
1,108,3
2,101,4
2,102,5
2,104,4
2,107,4
2,108,2
3,102,4
3,103,5
3,105,4
3,106,3
3,108,4
4,101,3
4,104,5
4,105,4
4,107,3
4,108,4
5,103,5
5,104,4
5,106,5
5,107,4
5,108,3
6,101,4
6,102,4
6,105,5
6,106,4
6,107,5
7,102,5
7,103,4
7,104,3
7,106,4
7,108,5
8,101,2
8,103,3
8,104,5
8,105,4
8,107,4
9,102,4
9,104,4
9,105,5
9,106,4
9,108,3
10,101,5
10,103,4
10,105,3
10,107,5
10,108,4
11,102,3
11,103,5
11,104,4
11,106,5
11,107,3
12,101,4
12,102,5
12,105,4
12,106,3
12,108,5
